individual	sites	lon	lat	o10_primpr	o11_salini	o14_tempmi	o09_primpr	o13_tempma	o01_icecov	o12_salini
13A2	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
15A2	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
18A1	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
19A1	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
22A1	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
24A1	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
CRO05	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
CRO07	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
CRO08	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
G4	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
G5	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
G6	Kerguelen	70.533	-49.267	0.003048	33.9779015	1.65763	0.019921	6.2112999	0	33.6403999
G7	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
GEN04	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GEN05	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GEN08	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GEN09	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GEN10	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GSA10	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GSA12	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GSA14	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GSA15	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GSA7	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GSA8	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GSA9	Signy	-45.583	-60.65	0.000043	34.3714981	-1.9345	0.014932	1.17479	0.827842	32.4384995
GTP06	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GTP07	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
GTP12	Marion	37.706	-46.967	0.00174	33.9920998	3.92435	0.005828	7.8485899	0	33.4903984
P0048	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
P0051	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
P0052	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
P0056	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
P0058	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
P0065	GGV	-62.85	-64.817	0.000017	34.5172997	-1.74269	0.046855	1.7645299	0.808374	31.6109009
P0167	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0169	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0170	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0173	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0196	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0198	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0200	Ohiggins	-57.883	-63.317	0.000034	34.5225983	-1.93314	0.038683	0.134662	0.81191	32.0057983
P0402	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P0404	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P0405	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P0407	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P0408	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P0409	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P0412	King	-58.583	-62.233	0.000021	34.5596008	-1.8650399	0.027137	1.6057	0.783842	33.1559982
P1884	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
P1885	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
P1887	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
P1889	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
P1893	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
P1896	Falkland	-59.35	-52.333	0.007465	34.175499	4.2620001	0.056462	10.7047997	0	33.7317009
P2134	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
P2136	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
P2143	Crozet	50.4	-46.417	0.001014	33.9401016	3.5575099	0.005987	8.2642298	0	33.5507011
PAM10	Martillo	-67.383	-54.9	0.006259	34.0877991	4.7399902	0.097493	9.4099903	0	33.6428986
